Date,Open,High,Low,Close,Volume,Return,Close_lag_1,Close_lag_2,Close_lag_3,SMA_7,SMA_30,Vol_7,Vol_14,Target_Close,Predicted_Close,Predicted_Return,Model_Signal,SMA_7_prev,SMA_30_prev,Bull_Cross,Bear_Cross,Final_Signal
2021-05-30,2278.74,2476.42,2180.53,2385.98,1151113.19883,0.047061095166627265,2278.74,2412.1,2742.23,2579.6471428571426,3153.374666666667,222.19849982348592,370.74398501785697,2706.15,2599.1199,0.0893301172041991,1,,,False,False,0
2021-05-31,2385.82,2720.0,2271.44,2706.15,1307958.04068,0.13418804851675215,2385.98,2278.74,2412.1,2587.8928571428573,3145.4206666666664,226.2111803687159,320.69415016148946,2634.57,2681.0974,-0.009257649387737224,-1,2579.6471428571426,3153.374666666667,False,False,0
2021-06-01,2706.15,2740.0,2523.74,2634.57,1179577.10806,-0.026450861925613856,2706.15,2385.98,2278.74,2577.815714285714,3134.9210000000003,221.6442510614015,227.66199529487986,2706.22,2633.651,-0.0003488694905620893,0,2587.8928571428573,3145.4206666666664,False,False,0
2021-06-02,2634.31,2802.99,2550.0,2706.22,970070.53563,0.027196088925327322,2634.57,2706.15,2385.98,2552.2842857142855,3110.760333333333,188.1295657126655,230.5741267961343,2857.25,2769.7932,0.0234915169094254,1,2577.815714285714,3134.9210000000003,False,False,0
2021-06-03,2706.21,2891.95,2662.4,2857.25,1024290.89423,0.055808470856028025,2706.22,2634.57,2706.15,2568.7157142857145,3098.0349999999994,211.1047017364516,238.14078885038438,2689.51,2753.3555,-0.036361722372911014,-1,2552.2842857142855,3110.760333333333,False,False,0
2021-06-04,2857.25,2860.0,2552.0,2689.51,1188314.11191,-0.058706798495056334,2857.25,2706.22,2634.57,2608.345714285714,3070.21,202.67387176258399,237.72410160995761,2627.73,2723.4585,0.012622558047283624,1,2568.7157142857145,3098.0349999999994,False,False,0
2021-06-05,2689.54,2816.87,2552.23,2627.73,961824.12413,-0.022970727009752778,2689.51,2857.25,2706.22,2658.2014285714286,3041.476666666667,141.8901380679812,223.8503094090452,2711.92,2718.008,0.03435591047810277,1,2608.345714285714,3070.21,False,False,0
2021-06-06,2627.63,2745.0,2614.0,2711.92,673792.69369,0.0320390603296381,2627.73,2689.51,2857.25,2704.764285714286,3015.889666666667,75.72026233822739,172.186043556388,2592.05,2617.652,-0.03476057567724161,-1,2658.2014285714286,3041.476666666667,False,False,0
2021-06-07,2711.92,2847.55,2570.0,2592.05,1152128.07856,-0.04420115637629429,2711.92,2627.73,2689.51,2688.464285714286,2971.949333333333,86.83711646085776,172.68785543049847,2507.23,2615.7253,0.009133829130176817,1,2704.764285714286,3015.889666666667,False,False,0
2021-06-08,2592.05,2620.99,2304.91,2507.23,1693747.42759,-0.03272313419880024,2592.05,2711.92,2627.73,2670.272857142857,2924.7253333333333,110.2035121512676,174.87249424010662,2610.18,2566.9126,0.023804197323839447,1,2688.464285714286,2971.949333333333,False,False,0
2021-06-09,2507.43,2626.63,2405.28,2610.18,1276718.24011,0.04106125086250567,2507.23,2592.05,2711.92,2656.552857142857,2880.2019999999998,110.95807777628389,157.93824099004897,2471.09,2593.6147,-0.006346402894149001,-1,2670.272857142857,2924.7253333333333,False,False,0
2021-06-10,2610.2,2624.46,2425.11,2471.09,741237.49926,-0.05328751273858501,2610.18,2507.23,2592.05,2601.387142857143,2823.4566666666665,88.20856547868594,156.35552549125376,2354.01,2481.2703,0.004119746213968271,0,2656.552857142857,2880.2019999999998,False,False,0
2021-06-11,2471.01,2497.99,2321.37,2354.01,587364.27358,-0.047379901177213246,2471.09,2610.18,2507.23,2553.4585714285713,2774.483333333333,118.34573875281811,161.96831780313008,2370.74,2392.0774,0.01617129603447937,1,2601.387142857143,2823.4566666666665,False,False,0
2021-06-12,2354.09,2454.53,2256.22,2370.74,767439.4984,0.007107021635421873,2354.01,2471.09,2610.18,2516.7457142857143,2729.5776666666666,130.6836366774198,150.2050295996466,2509.33,2427.976,0.024142704058121186,1,2553.4585714285713,2774.483333333333,False,False,0
