Date,Open,High,Low,Close,Volume,Return,Close_lag_1,Close_lag_2,Close_lag_3,SMA_7,SMA_30,Vol_7,Vol_14,Target_Close,Predicted_Close,Predicted_Return,Model_Signal,SMA_7_prev,SMA_30_prev,Bull_Cross,Bear_Cross,Final_Signal
2021-05-30,34605.15,36488.0,33379.0,35641.27,73535.386967,0.029941208172771905,34605.15,35663.49,38529.98,37257.544285714284,46719.471666666665,1882.0179503560057,2762.7737770490403,37253.81,36347.023,0.019801579390970166,1,,,False,False,0
2021-05-31,35641.26,37499.0,34153.84,37253.81,94160.735289,0.04524361786210207,35641.27,34605.15,35663.49,37037.189999999995,46034.586333333325,1758.044978842595,2285.0344912927685,36693.09,37293.133,0.0010555380107431249,0,37257.544285714284,46719.471666666665,False,False,0
2021-06-01,37253.82,37894.81,35666.0,36693.09,81234.66377,-0.015051346426043444,37253.81,35641.27,34605.15,36804.1,45371.748999999996,1664.5663878921562,1740.5299086514487,37568.68,36652.27,-0.0011124838150724432,0,37037.189999999995,46034.586333333325,False,False,0
2021-06-02,36694.85,38225.0,35920.0,37568.68,67587.372495,0.02386253106511349,36693.09,37253.81,35641.27,36565.06714285714,44718.392,1345.7584968426402,1735.1093755535555,39246.79,38791.297,0.03254351430500086,1,36804.1,45371.748999999996,False,False,0
2021-06-03,37568.68,39476.0,37170.0,39246.79,75889.106011,0.044667792427096176,37568.68,36693.09,37253.81,36667.46857142857,44253.28466666667,1534.2613950088914,1578.70474866432,36829.0,37508.82,-0.04428310410864177,-1,36565.06714285714,44718.392,False,False,0
2021-06-04,39246.78,39289.07,35555.15,36829.0,91317.799245,-0.06160478347401155,39246.79,37568.68,36693.09,36833.969999999994,43566.381,1469.002412058491,1581.8574848471055,35513.2,36426.164,-0.01093800910966901,-1,36667.46857142857,44253.28466666667,False,False,0
2021-06-05,36829.15,37925.0,34800.0,35513.2,70459.62149,-0.03572728013250437,36829.0,39246.79,37568.68,36963.69142857143,42870.365,1265.3596179932179,1639.9199142179698,35796.31,36914.035,0.03944547819543164,1,36833.969999999994,43566.381,False,False,0
2021-06-06,35516.07,36480.0,35222.0,35796.31,47650.206637,0.007971965353727573,35513.2,36829.0,39246.79,36985.840000000004,42153.083666666666,1239.4458995590148,1537.4226055925997,33552.79,33934.766,-0.05200380639792196,-1,36963.69142857143,42870.365,False,False,0
2021-06-07,35796.31,36900.0,33300.0,33552.79,77574.952573,-0.06267461646186423,35796.31,35513.2,36829.0,36457.12285714286,41309.441666666666,1778.3226408212602,1725.300285807981,33380.81,33163.58,-0.011599985425951191,-1,36985.840000000004,42153.083666666666,False,False,0
2021-06-08,33556.96,34068.01,31000.0,33380.81,123251.189037,-0.00512565423024447,33552.79,35796.31,35513.2,35983.94,40480.774,2114.051981290998,1876.8693394422023,37388.05,35330.574,0.058409733578963556,1,36457.12285714286,41309.441666666666,False,False,0
